barcode;name;description;unit;rate;costprice;lastprice;category;notax;discper
6281011702006;زيت عافية 1.5 لتر;زيت عافية 1.5 لتر;17;110;109.493;109.5;1;FALSE;0
005510088611;رمان;رمان;1;10;9;9;1;FALSE;0
6287000861143;ماء أبار 30*600 مل;ماء أبار 30*600 مل;7;17;16;16.5;1;FALSE;0
6624000203090;فول سوداني مملح 13 جرام;فول سوداني مملح 13 جرام;1;0.5;0.25;0.25;1;FALSE;0
669568077567;حلوى السمسم مستر نتس 18 جرام;حلوى السمسم مستر نتس 18 جرام;1;0.5;0.25;0.25;1;FALSE;0
6281060903201;عصير سيزر برتقال 250 مل;عصير سيزر برتقال 250 مل;1;2.5;2;2;1;FALSE;0
6281006807051;شاهي ليبتون فرط 440 جرام;شاهي ليبتون فرط 440 جرام;1;18;17.5;17.5;1;FALSE;0
8001841787756;بونكس 2.5 كيلو;بونكس 2.5 كيلو;1;27;26.5;26.5;1;FALSE;0
034000440115;شوكولاتة ريسيس 51 جرام;شوكولاتة ريسيس 51 جرام;1;4;3.5;3.5;1;FALSE;0
8993175538886;بطاطس سايب 10 جرام;بطاطس سايب 10 جرام;1;2;1.5;1.5;1;FALSE;0
6281105680302;معمول أم صالح 700 جرام;معمول أم صالح 700 جرام;1;15;14.5;14.5;1;FALSE;0
76145759;شوكولاتة توبلرون  35 جرام;شوكولاتة توبلرون  35 جرام;1;3;2;2;1;FALSE;0
4607065738594;سنيكرز كريسبي 40 جرام;سنيكرز كريسبي 40 جرام;1;3;2.5;2.5;1;FALSE;0
009800800056;شوكولاتة نوتيلا جو 52 جرام;شوكولاتة نوتيلا جو 52 جرام;1;6;5.5;5.5;1;FALSE;0
6291014129373;فول السوداني بيست;فول السوداني بيست;5;12;11.488;11.5;1;FALSE;0
00006239;مشكل زبيب كاجو لوز 150 جرام;مشكل زبيب كاجو لوز 150 جرام;1;5;4.5;4.5;1;FALSE;0
2961560542738;شرابات;شرابات;1;3;2.5;2.5;1;FALSE;0
